epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4086,1.82476,3.71596,1.95985,0.003,0.81818,0.00368,0.00133,1.56643,4.72697,2.25814,4e-05,4e-05,4e-05
2,121.021,1.56578,3.58638,1.6653,0.00367,1,0.01685,0.00607,1.35041,4.39624,1.87833,9.802e-05,9.802e-05,9.802e-05
3,164.606,1.4247,3.3446,1.51147,0.00367,1,0.11308,0.04967,1.27726,3.72345,1.46785,0.000153664,0.000153664,0.000153664
4,207.355,1.0842,2.87909,1.2788,0.00367,1,0.42396,0.29148,1.02915,3.40441,1.19282,0.000206932,0.000206932,0.000206932
5,250.072,1.15055,2.40482,1.2479,0.00367,1,0.62306,0.42101,1.11238,3.41452,1.13954,0.000257824,0.000257824,0.000257824
6,294.578,1.14414,1.86477,1.26666,0.00367,1,0.76486,0.46663,1.18447,3.33024,1.16374,0.00030634,0.00030634,0.00030634
7,336.061,1.15957,1.81449,1.29792,0.00367,1,0.81053,0.44773,1.29314,3.28836,1.14058,0.00035248,0.00035248,0.00035248
8,392.194,1.14098,1.69384,1.28246,0.00367,1,0.83221,0.48583,1.26146,3.19639,1.12046,0.000396244,0.000396244,0.000396244
9,445.373,1.15831,1.99456,1.24547,0.00367,1,0.78051,0.50086,1.16007,3.27652,1.12862,0.000437632,0.000437632,0.000437632
10,512.054,1.0865,1.70595,1.17558,0.00367,1,0.805,0.53721,1.10117,3.2819,1.14818,0.000476644,0.000476644,0.000476644
11,563.08,1.06222,1.80217,1.24389,0.76381,0.27273,0.82399,0.50498,1.07029,3.33362,1.12805,0.00051328,0.00051328,0.00051328
12,590.862,1.14621,1.43843,1.32274,0.849,0.27273,0.65678,0.47273,1.04424,3.41996,1.12488,0.00054754,0.00054754,0.00054754
13,615.385,1.23652,1.71467,1.38928,1,0.31514,0.63136,0.3952,1.30021,3.48508,1.22245,0.000579424,0.000579424,0.000579424
14,643.772,1.31836,1.6152,1.2482,1,0.3186,0.65794,0.43563,1.23723,3.51447,1.20666,0.000608932,0.000608932,0.000608932
15,672.423,1.00804,1.41341,1.17363,0.82964,0.36364,0.62251,0.32182,0.97877,3.2718,1.09541,0.000636064,0.000636064,0.000636064
16,703.555,1.12383,1.63584,1.21831,0.93067,0.36364,0.70095,0.42317,1.01706,3.21718,1.15913,0.00066082,0.00066082,0.00066082
17,733.398,1.14397,1.55586,1.36439,0.76722,0.27273,0.56347,0.34213,1.39034,3.3206,1.30531,0.0006832,0.0006832,0.0006832
18,764.015,1.241,1.67476,1.31402,0.7585,0.27273,0.64598,0.34773,1.42945,3.37254,1.30984,0.000703204,0.000703204,0.000703204
19,793.809,1.43256,1.67663,1.46939,1,0.36174,0.72591,0.39379,1.48224,3.18773,1.41089,0.000720832,0.000720832,0.000720832
20,824.103,1.16946,1.72538,1.2072,1,0.53324,0.88538,0.55627,1.28049,2.86675,1.26111,0.000736084,0.000736084,0.000736084
21,868.262,1.14043,1.52553,1.18655,1,0.53249,0.94804,0.60783,1.2584,2.80364,1.25098,0.00074896,0.00074896,0.00074896
22,911.872,1.19242,1.5922,1.34293,1,0.56732,0.9082,0.58321,1.42916,2.86848,1.3754,0.00075946,0.00075946,0.00075946
23,958.14,1.20542,1.57878,1.26813,0.94224,0.54545,0.8105,0.52176,1.43109,2.80044,1.34109,0.000767584,0.000767584,0.000767584
24,1000.28,1.16251,1.3753,1.24558,0.86157,0.56801,0.69158,0.46588,1.57649,2.80694,1.52125,0.000773332,0.000773332,0.000773332
25,1043.01,1.04127,1.35743,1.13664,0.98954,0.54545,0.77945,0.51117,1.37924,2.67479,1.36821,0.000776704,0.000776704,0.000776704
26,1085.89,1.04968,1.36459,1.16825,0.96311,0.45455,0.71014,0.44223,1.41362,2.64948,1.4189,0.0007777,0.0007777,0.0007777
27,1121.27,1.14275,1.39607,1.21454,0.70511,0.54545,0.51997,0.28219,1.44502,2.77262,1.44767,0.00077632,0.00077632,0.00077632
28,1157.72,1.23665,1.44993,1.25348,0.47435,0.45455,0.44239,0.24313,1.46158,2.81775,1.43265,0.000772564,0.000772564,0.000772564
29,1192.7,1.14805,1.35165,1.21282,0.47435,0.45455,0.44239,0.24313,1.46158,2.81775,1.43265,0.000766432,0.000766432,0.000766432
30,1230.31,1.01464,1.25745,1.11298,0.53099,0.63636,0.48324,0.26777,1.5874,2.71446,1.52057,0.000757924,0.000757924,0.000757924
31,1266.97,1.02358,1.20353,1.13546,0.62336,0.63636,0.5926,0.33745,1.64934,2.6065,1.48176,0.00074704,0.00074704,0.00074704
32,1310.1,0.98448,1.24241,1.14992,0.53214,0.62142,0.53589,0.33067,1.52396,2.76384,1.36443,0.00073378,0.00073378,0.00073378
33,1355.35,0.96734,1.21488,1.14406,0.53214,0.62142,0.53589,0.33067,1.52396,2.76384,1.36443,0.000718144,0.000718144,0.000718144
34,1399.33,0.98264,1.17977,1.12974,0.56911,0.63636,0.49529,0.31769,1.40872,3.18783,1.34603,0.0006932,0.0006932,0.0006932
35,1444.7,0.97175,1.17102,1.1522,0.68183,0.63636,0.59941,0.38868,1.32035,3.00404,1.31404,0.0006536,0.0006536,0.0006536
36,1490.11,0.95911,1.17623,1.16835,0.71329,0.72727,0.68362,0.44338,1.34353,2.64284,1.36654,0.000614,0.000614,0.000614
37,1535.87,0.90379,1.16849,1.1484,0.71329,0.72727,0.68362,0.44338,1.34353,2.64284,1.36654,0.0005744,0.0005744,0.0005744
38,1588.82,0.91647,1.13976,1.14755,0.87986,0.72727,0.77897,0.49911,1.38897,2.24799,1.40811,0.0005348,0.0005348,0.0005348
39,1647.54,0.9476,1.05484,1.10159,0.89904,0.81036,0.80478,0.53423,1.31687,2.05903,1.33525,0.0004952,0.0004952,0.0004952
40,1694.96,0.86748,1.08056,1.1261,0.8966,0.81818,0.80705,0.54801,1.25928,2.07078,1.32701,0.0004556,0.0004556,0.0004556
41,1741.33,0.94306,1.38262,1.21065,0.8966,0.81818,0.80705,0.54801,1.25928,2.07078,1.32701,0.000416,0.000416,0.000416
42,1787.16,0.89906,1.35463,1.08418,0.87024,0.81818,0.78383,0.55632,1.24214,2.16887,1.31255,0.0003764,0.0003764,0.0003764
43,1833.42,0.875,1.29218,1.09118,0.8978,0.80017,0.78431,0.5493,1.25862,2.1539,1.3326,0.0003368,0.0003368,0.0003368
44,1876.34,0.88507,1.32191,1.07852,0.89765,0.79892,0.75954,0.51063,1.25486,2.08857,1.34767,0.0002972,0.0002972,0.0002972
45,1918.04,0.79861,1.2672,1.02422,0.89765,0.79892,0.75954,0.51063,1.25486,2.08857,1.34767,0.0002576,0.0002576,0.0002576
46,1963.28,0.82279,1.24007,1.0358,0.89816,0.80313,0.75565,0.48567,1.24911,1.96724,1.37496,0.000218,0.000218,0.000218
47,2008.78,0.7685,1.15209,1.03307,0.89876,0.80806,0.76368,0.49043,1.27519,1.90999,1.36566,0.0001784,0.0001784,0.0001784
48,2052.72,0.77078,1.21081,1.00447,0.8997,0.81569,0.7905,0.50923,1.30264,1.85249,1.35699,0.0001388,0.0001388,0.0001388
49,2095.42,0.7962,1.22485,0.98695,0.8997,0.81569,0.7905,0.50923,1.30264,1.85249,1.35699,9.92e-05,9.92e-05,9.92e-05
50,2143.43,0.77944,1.31371,1.0431,0.89989,0.81726,0.79052,0.50038,1.31254,1.83612,1.35593,5.96e-05,5.96e-05,5.96e-05
